scenario,time,capability_frontier_ratio,output_per_person_growth,wage_growth,net_interest,labor_income_share,ai_services_counterfactual_ratio,output_counterfactual_ratio,wage_counterfactual_ratio,consumption_counterfactual_ratio
"Monopoly, chi = 7.5",24.875,0.9658995348390433,0.007372402661290013,0.007769694297787892,0.04598194518122005,0.05120877197521183,0.04178525797426646,0.06360651505300569,0.17415096915000247,0.2964218427465106
"Monopoly, chi = 7.5",25.0,0.9660663789689533,0.0073986792785783245,0.007790168910251649,0.04601681619193429,0.05121129655557427,0.041434247588880764,0.06306653712232399,0.17314474655865494,0.2938804307872998
"Monopoly, chi = 7.5",25.125,0.9662322716597482,0.007424818328398054,0.007810531761034377,0.04605148436960657,0.051213784200473844,0.04108656698764651,0.06253176440465175,0.1721455721941744,0.2913639459345185
"Monopoly, chi = 7.5",25.25,0.9663972192723398,0.00745082044606916,0.007830783434059822,0.046085950946910634,0.051216235070356046,0.04074218029427173,0.062002139546938485,0.17115338566811666,0.28887210636155564
"Monopoly, chi = 7.5",25.375,0.9665612281141236,0.007476686266221264,0.007850924511202364,0.046120217146134124,0.0512186493226424,0.0404010520770319,0.06147760592671938,0.17016812723477273,0.28640463394374976
"Monopoly, chi = 7.5",25.5,0.966724304446133,0.0075024164206357056,0.007870955570972803,0.04615428418304875,0.051221027116861446,0.04006314732782783,0.060958107619502655,0.16918973774128027,0.28396125411530454
"Monopoly, chi = 7.5",25.625,0.9668864544824491,0.007528011538510221,0.007890877188694348,0.04618815326641103,0.05122336861389786,0.03972843146036101,0.0604435893948445,0.1682181586314739,0.28154169584001754
"Monopoly, chi = 7.5",25.75,0.9670476843841361,0.0075534722485739334,0.00791068993782631,0.046221825594272084,0.05122567397089623,0.03939687031567729,0.059933996723419924,0.16725333197100561,0.279145691627378
"Monopoly, chi = 7.5",25.875,0.9672080002652157,0.0075787991773098315,0.007930394388884187,0.04625530235720361,0.051227943345536715,0.03906843014635273,0.05942927575219278,0.16629520041133122,0.2767729774203904
"Monopoly, chi = 7.5",26.0,0.9673674081952869,0.007603992948182612,0.007949991108975103,0.04628858473965014,0.05123017689780042,0.038743077606753024,0.058929373288703076,0.16534370717065583,0.27442329252050585
"Monopoly, chi = 7.5",26.125,0.96752591419441,0.007629054183425968,0.007969480662917543,0.04632167391676946,0.05123237478558367,0.03842077975746717,0.05843423680654946,0.16439879605550894,0.27209637959792343
"Monopoly, chi = 7.5",26.25,0.9676835242338486,0.007653983503992048,0.007988863613229669,0.04635457105464744,0.051234537164880176,0.0381015040608403,0.0579438144376107,0.16346041145674323,0.2697919846479822
"Monopoly, chi = 7.5",26.375,0.9678402442416766,0.007678781527784769,0.008008140519048365,0.046387277313403266,0.051236664193952376,0.03778521836374297,0.0574580549451841,0.1625284983085315,0.26750985687283824
"Monopoly, chi = 7.5",26.5,0.967996080100722,0.007703448870434989,0.008027311936622065,0.04641979384581722,0.051238756031376766,0.03747189089854437,0.056976907724389694,0.16160300209954642,0.2652497486712871
"Monopoly, chi = 7.5",26.625,0.968151037644255,0.00772798614692088,0.008046378420333174,0.04645212179456916,0.05124081283215409,0.03716149028651245,0.05650032280618362,0.16068386889140363,0.26301141564378583
"Monopoly, chi = 7.5",26.75,0.9683051226624316,0.007752393969532594,0.008065340521450793,0.04648426229586883,0.05124283475261056,0.036853985520670256,0.05602825083071687,0.15977104527730243,0.2607946164750668
"Monopoly, chi = 7.5",26.875,0.9684583409032269,0.007776672947631953,0.00808419878799284,0.04651621647985543,0.05124482195088148,0.03654934596082388,0.055560643038917036,0.15886447837561826,0.25859911288943294
"Monopoly, chi = 7.5",27.0,0.9686106980670326,0.007800823689628796,0.008102953765968363,0.04654798546717252,0.05124677458209868,0.036247541338357336,0.05509745127863002,0.15796411585213246,0.2564246696652725
"Monopoly, chi = 7.5",27.125,0.9687621998098754,0.007824846802055259,0.008121605998819547,0.046579570370696294,0.05124869280067948,0.035948541747394376,0.05463862799046909,0.15706990590232156,0.2542710545674922
"Monopoly, chi = 7.5",27.25,0.9689128517472638,0.00784874288832181,0.008140156026659504,0.04661097229769458,0.05125057676324882,0.03565231763219231,0.05418412618803274,0.1561817972223183,0.2521380382587645
"Monopoly, chi = 7.5",27.375,0.9690626594509073,0.007872512549958122,0.008158604387056768,0.046642192347674444,0.051252426625574055,0.0353588397899324,0.05373389946113641,0.15529973902489347,0.25002539430231857
"Monopoly, chi = 7.5",27.5,0.9692116284468086,0.007896156387452117,0.00817695161557423,0.04667323161100441,0.051254242540564286,0.035068079370795036,0.053287901975000926,0.15442368104759113,0.24793289914867955
"Monopoly, chi = 7.5",27.625,0.9693597642210587,0.007919674998343253,0.008195198244594913,0.0467040911722912,0.05125602466287854,0.034780007861917026,0.052846088445407585,0.15355357351309112,0.24586033202713672
